,decades,name,number
838,00s,Almendra,11
839,00s,Almir,5
840,00s,Almira,5
841,00s,Alohilani,6
842,00s,Alon,47
843,00s,Alona,320
844,00s,Alondra,19351
845,00s,Aloni,10
846,00s,Alonna,386
847,00s,Alonso,2791
848,00s,Alonte,6
849,00s,Alonzo,3882
850,00s,Alora,894
851,00s,Alp,11
852,00s,Alpha,215
853,00s,Alphonse,18
854,00s,Alphonso,179
855,00s,Alston,152
856,00s,Alta,6
857,00s,Altagracia,5
858,00s,Altariq,12
859,00s,Alter,65
860,00s,Althea,139
861,00s,Altin,12
862,00s,Alton,934
863,00s,Alura,5
864,00s,Alva,18
865,00s,Alvaro,3444
866,00s,Alvin,4730
867,00s,Alvina,36
868,00s,Alvino,32
869,00s,Aly,180
870,00s,Alya,95
871,00s,Alyah,223
872,00s,Alyana,258
873,00s,Alyanna,173
874,00s,Alyce,54
875,00s,Alycia,1286
876,00s,Alydia,22
877,00s,Alyia,23
878,00s,Alyiah,94
879,00s,Alyissa,16
880,00s,Alyjah,5
881,00s,Alyn,55
882,00s,Alyna,592
883,00s,Alynah,26
884,00s,Alyne,7
885,00s,Alynna,159
886,00s,Alys,5
887,00s,Alysa,2045
888,00s,Alysah,10
889,00s,Alysandra,13
890,00s,Alyse,993
891,00s,Alysen,5
892,00s,Alysha,1070
893,00s,Alysia,1118
894,00s,Alyson,6104
895,00s,Alyssa,114486
896,00s,Alyssah,91
897,00s,Alyssamae,5
898,00s,Alyssamarie,52
899,00s,Alyssandra,76
900,00s,Alysse,101
901,00s,Alyssia,1056
902,00s,Alysson,132
903,00s,Alyvia,1313
904,00s,Alyx,6
905,00s,Alyxandria,5
906,00s,Alyza,290
907,00s,Alyzae,10
908,00s,Alyzah,5
909,00s,Alyze,15
910,00s,Alyzea,13
911,00s,Alyzza,34
912,00s,Ama,6
913,00s,Amaan,177
914,00s,Amada,85
915,00s,Amadeo,88
916,00s,Amadeus,74
917,00s,Amado,255
918,00s,Amador,192
919,00s,Amadou,231
920,00s,Amaia,249
921,00s,Amaiah,39
922,00s,Amairani,190
923,00s,Amairany,224
924,00s,Amaiya,468
925,00s,Amaiyah,62
926,00s,Amal,423
927,00s,Amalia,1467
928,00s,Amalie,63
929,00s,Aman,629
930,00s,Amanda,46518
931,00s,Amandeep,13
932,00s,Amando,46
933,00s,Amani,4402
934,00s,Amanpreet,10
935,00s,Amanuel,5
936,00s,Amar,791
937,00s,Amara,3813
938,00s,Amarachi,44
939,00s,Amarah,107
940,00s,Amare,1716
941,00s,Amaree,99
942,00s,Amari,12523
943,00s,Amaria,758
944,00s,Amariah,601
945,00s,Amarian,22
946,00s,Amariana,71
947,00s,Amarianna,5
948,00s,Amarie,514
949,00s,Amarii,11
950,00s,Amarilis,10
951,00s,Amarion,1907
952,00s,Amariona,7
953,00s,Amaris,1929
954,00s,Amarissa,65
955,00s,Amarius,6
956,00s,Amariya,46
957,00s,Amariyah,36
958,00s,Amariyon,5
959,00s,Amaru,23
960,00s,Amaryllis,17
961,00s,Amauri,245
962,00s,Amaury,204
963,00s,Amaya,15052
964,00s,Amayah,533
965,00s,Amayrani,80
966,00s,Amayrany,13
967,00s,Ambar,407
968,00s,Amber,36152
969,00s,Amberlee,83
970,00s,Amberleigh,6
971,00s,Amberly,784
972,00s,Amberlyn,128
973,00s,Amberlynn,57
974,00s,Ambika,10
975,00s,Ambree,44
976,00s,Ambria,262
977,00s,Ambriel,5
978,00s,Ambrielle,47
979,00s,Ambrose,88
980,00s,Ambrosia,34
981,00s,Amee,5
982,00s,Ameen,190
983,00s,Ameena,112
984,00s,Ameenah,10
985,00s,Ameer,1015
986,00s,Ameera,448
987,00s,Ameerah,271
988,00s,Ameir,11
989,00s,Amel,11
990,00s,Amela,12
991,00s,Amelia,33231
992,00s,Amelie,2294
993,00s,Amellia,6
994,00s,Amely,33
995,00s,Amelya,10
996,00s,Amen,5
997,00s,Amena,29
998,00s,Amer,70
999,00s,Amera,23
1000,00s,Amere,49
1001,00s,Ameri,5
1002,00s,Ameria,76
1003,00s,America,5594
1004,00s,Americo,14
1005,00s,Americus,36
1006,00s,Amerie,596
1007,00s,Amerika,34
1008,00s,Ameris,21
1009,00s,Amery,42
1010,00s,Amethyst,367
1011,00s,Ameya,48
1012,00s,Ameyalli,5
1013,00s,Ami,293
1014,00s,Amia,1174
1015,00s,Amiah,1164
1016,00s,Amie,615
1017,00s,Amiee,22
1018,00s,Amiel,40
1019,00s,Amier,21
1020,00s,Amil,11
1021,00s,Amilcar,35
1022,00s,Amilia,124
1023,00s,Amillia,5
1024,00s,Amily,5
1025,00s,Amin,356
1026,00s,Amina,2502
1027,00s,Aminah,633
1028,00s,Aminata,432
1029,00s,Amine,10
1030,00s,Amir,8485
1031,00s,Amira,4196
1032,00s,Amiracle,167
1033,00s,Amirah,1854
1034,00s,Amire,34
1035,00s,Amiri,43
1036,00s,Amirrah,5
1037,00s,Amisadai,11
1038,00s,Amisha,94
1039,00s,Amit,240
1040,00s,Amitai,6
1041,00s,Amity,23
1042,00s,Amiya,2974
1043,00s,Amiyah,3496
1044,00s,Ammar,362
1045,00s,Ammon,688
1046,00s,Ammy,182
1047,00s,Amna,200
1048,00s,Amogh,126
1049,00s,Amon,99
1050,00s,Amoni,80
1051,00s,Amonie,5
1052,00s,Amonte,34
1053,00s,Amor,78
1054,00s,Amora,188
1055,00s,Amore,34
1056,00s,Amorette,10
1057,00s,Amori,5
1058,00s,Amorie,5
1059,00s,Amory,10
1060,00s,Amos,1110
1061,00s,Amparo,54
1062,00s,Amr,123
1063,00s,Amra,10
1064,00s,Amreen,12
1065,00s,Amri,29
1066,00s,Amrie,11
1067,00s,Amrit,111
1068,00s,Amrita,130
1069,00s,Amritpal,6
1070,00s,Amrom,94
1071,00s,Amulya,13
1072,00s,Amunet,5
1073,00s,Amy,28621
1074,00s,Amya,5613
1075,00s,Amyah,932
1076,00s,Amyia,110
1077,00s,Amyiah,37
1078,00s,Amyra,93
1079,00s,Amyrah,5
1080,00s,Amyre,13
1081,00s,Amyree,5
1082,00s,Amyri,33
1083,00s,Amyria,30
1084,00s,Amyrie,43
1085,00s,An,133
1086,00s,Ana,23036
1087,00s,Anabel,1724
1088,00s,Anabela,16
1089,00s,Anabell,208
1090,00s,Anabella,1482
1091,00s,Anabelle,2488
1092,00s,Anacamila,10
1093,00s,Anacarolina,6
1094,00s,Anaceli,5
1095,00s,Anaclara,21
1096,00s,Anacristina,29
1097,00s,Anadalay,10
1098,00s,Anaeli,5
1099,00s,Anaelle,5
1100,00s,Anagabriela,5
1101,00s,Anagha,57
1102,00s,Anahi,8328
1103,00s,Anahis,10
1104,00s,Anahit,120
1105,00s,Anahita,15
1106,00s,Anahy,435
1107,00s,Anai,734
1108,00s,Anaia,6
1109,00s,Anaiah,423
1110,00s,Anaid,86
1111,00s,Anaira,6
1112,00s,Anais,1826
1113,00s,Anaisa,5
1114,00s,Anaiya,583
1115,00s,Anaiyah,224
1116,00s,Anaiz,10
1117,00s,Anaja,5
1118,00s,Anajah,22
1119,00s,Anajulia,23
1120,00s,Anaka,5
