ID,name,birthstate,countryName,countryCode,birthyear,gender,occupation
20913302,Robert De Niro,NY,UNITED STATES,US,1943,Male,ACTOR
26552,Roy Orbison,TX,United States,US,1936,Male,SINGER
2310,Arthur Miller,NY,UNITED STATES,US,1915,Male,WRITER
6984,Colin Powell,NY,UNITED STATES,US,1937,Male,POLITICIAN
19361,Moby,NY,UNITED STATES,US,1965,Male,MUSICIAN
26940,Steven Spielberg,OH,UNITED STATES,US,1946,Male,FILM DIRECTOR
26941,Spike Lee,GA,UNITED STATES,US,1957,Male,FILM DIRECTOR
26954,Stephen King,ME,UNITED STATES,US,1947,Male,WRITER
52717,Louis Sullivan,MA,UNITED STATES,US,1856,Male,ARCHITECT
27152,Sheryl Crow,MO,UNITED STATES,US,1962,Female,SINGER
27337,Steven Soderbergh,GA,UNITED STATES,US,1963,Male,FILM DIRECTOR
152447,Sean Combs,NY,UNITED STATES,US,1969,Male,MUSICIAN
176935,James Baldwin,NY,UNITED STATES,US,1924,Male,WRITER
31501,Tim Burton,CA,UNITED STATES,US,1958,Male,FILM DIRECTOR
741705,Mark Harmon,CA,UNITED STATES,US,1951,Male,ACTOR
753399,Doug Savant,CA,UNITED STATES,US,1964,Male,ACTOR
194551,"Sammy Davis, Jr.",NY,UNITED STATES,US,1925,Male,SINGER
53569,Leonard Nimoy,MA,United States,US,1931,Male,ACTOR
28631,Sam Raimi,MI,UNITED STATES,US,1959,Male,FILM DIRECTOR
78834,Uma Thurman,MA,UNITED STATES,US,1970,Female,ACTOR
211080,Method Man,NY,UNITED STATES,US,1971,Male,SINGER
29455,Sandra Bullock,VA,UNITED STATES,US,1964,Female,ACTOR
29603,Scott Joplin,TX,United States,US,1867,Male,COMPOSER
29656,Steve Ballmer,MI,UNITED STATES,US,1956,Male,BUSINESSPERSON
29778,Thomas Edison,OH,United States,US,1847,Male,INVENTOR
29922,Thomas Jefferson,VA,UNITED STATES,US,1743,Male,POLITICIAN
30265,Tom Clancy,MD,UNITED STATES,US,1947,Male,WRITER
30273,T. S. Eliot,MO,UNITED STATES,US,1888,Male,WRITER
30410,Terry Gilliam,MN,UNITED STATES,US,1940,Male,ACTOR
30475,Ted Turner,OH,UNITED STATES,US,1938,Male,BUSINESSPERSON
876916,Kaley Cuoco,CA,UNITED STATES,US,1985,Female,ACTOR
638381,Charles Durning,NY,UNITED STATES,US,1923,Male,ACTOR
19499,Mariah Carey,NY,UNITED STATES,US,1970,Female,SINGER
106082,Jared Diamond,MA,UNITED STATES,US,1937,Male,HISTORIAN
10979,Franklin D. Roosevelt,NY,UNITED STATES,US,1882,Male,POLITICIAN
31362,Thomas R. Marshall,IN,UNITED STATES,US,1854,Male,POLITICIAN
96904,Alex Haley,NY,UNITED STATES,US,1921,Male,WRITER
149561,Donna Summer,MA,UNITED STATES,US,1948,Female,SINGER
31485,Stonewall Jackson,WV,United States,US,1824,Male,MILITARY PERSONNEL
87474,Tony Hawk,CA,UNITED STATES,US,1968,Male,SKATER
31522,Thomas Hunt Morgan,KY,United States,US,1866,Male,BIOLOGIST
1358569,Nick Carter,NY,United States,US,1980,Male,SINGER
31752,Ulysses S. Grant,OH,United States,US,1822,Male,POLITICIAN
377205,Adam Brody,CA,UNITED STATES,US,1979,Male,ACTOR
32433,Vint Cerf,CT,UNITED STATES,US,1943,Male,COMPUTER SCIENTIST
159473,Edward Norton,MA,UNITED STATES,US,1969,Male,ACTOR
24191364,Lucille Ball,NY,United States,US,1911,Female,ACTOR
45473,Lynn Margulis,IL,UNITED STATES,US,1938,Female,BIOLOGIST
33060,Warren G. Harding,OH,United States,US,1865,Male,POLITICIAN
33119,William Gibson,SC,United States,US,1948,Male,WRITER
33161,Ward Cunningham,IN,UNITED STATES,US,1949,Male,COMPUTER SCIENTIST
33278,Woody Guthrie,OK,United States,US,1912,Male,MUSICIAN
33299,William Henry Harrison,VA,UNITED STATES,US,1773,Male,POLITICIAN
33521,William McKinley,OH,United States,US,1843,Male,POLITICIAN
33522,William Howard Taft,OH,UNITED STATES,US,1857,Male,POLITICIAN
33523,Woodrow Wilson,VA,UNITED STATES,US,1856,Male,POLITICIAN
1702544,Brenda Song,CA,UNITED STATES,US,1988,Female,ACTOR
177556,Cliff Burton,CA,UNITED STATES,US,1962,Male,MUSICIAN
33594,William S. Burroughs,MO,UNITED STATES,US,1914,Male,WRITER
33718,William Faulkner,MS,UNITED STATES,US,1897,Male,WRITER
19763,Martin Van Buren,NY,UNITED STATES,US,1782,Male,POLITICIAN
33833,Willard Van Orman Quine,OH,UNITED STATES,US,1908,Male,PHILOSOPHER
762156,John Petrucci,NY,United States,US,1967,Male,MUSICIAN
225541,Talia Shire,NY,United States,US,1946,Female,ACTOR
399397,Rick Rubin,NY,United States,US,1963,Male,PRODUCER
166959,Matt Damon,MA,UNITED STATES,US,1970,Male,ACTOR
34071,Whitney Houston,NJ,UNITED STATES,US,1963,Female,SINGER
